state_code,state_name,sex,age,mx,qx,lx,dx,Lx,Tx,ex
0,República Mexicana,female,107,0.695035461,0.5157894737,95.07714462,49.03979038,70.55724943,126.9969665,1.3357255
0,República Mexicana,female,108,0.7763157895,0.5592417062,46.03735424,25.74600853,33.16434997,56.43971711,1.225954837
0,República Mexicana,female,109,0.8717948718,1,20.29134571,20.29134571,23.27536713,23.27536713,1.147058824
0,República Mexicana,male,0,0.01307783962,0.01292570338,100000,1292.570338,98836.6867,7231506.225,72.31506225
0,República Mexicana,male,1,0.001573057402,0.00157182112,98707.42966,155.1504226,98629.85445,7132669.539,72.26071597
0,República Mexicana,male,2,0.0005872771081,0.0005871047115,98552.27924,57.86050747,98523.34899,7034039.684,71.37368855
0,República Mexicana,male,3,0.0003399032264,0.0003398454692,98494.41873,33.47288194,98477.68229,6935516.335,70.41532327
0,República Mexicana,male,4,0.0002563722111,0.000256339352,98460.94585,25.23941506,98448.32614,6837038.653,69.43909175
0,República Mexicana,male,5,0.00022030892,0.0002202846546,98435.70644,21.6838756,98424.8645,6738590.327,68.45676809
0,República Mexicana,male,6,0.0002021854665,0.0002021650291,98414.02256,19.89587373,98404.07462,6640165.462,67.47174122
0,República Mexicana,male,7,0.0001972118826,0.0001971924383,98394.12669,19.40257775,98384.4254,6541761.388,66.4852833
0,República Mexicana,male,8,0.0002016267572,0.0002016064326,98374.72411,19.83297719,98364.80762,6443376.962,65.49829766
0,República Mexicana,male,9,0.0002160117596,0.0002159884316,98354.89113,21.24351868,98344.26937,6345012.155,64.51140438
0,República Mexicana,male,10,0.0002446001188,0.0002445702079,98333.64761,24.04948064,98321.62287,6246667.885,63.52523309
0,República Mexicana,male,11,0.0002921838188,0.0002921411394,98309.59813,28.72027801,98295.23799,6148346.262,62.54065096
0,República Mexicana,male,12,0.0003687886511,0.0003687206611,98280.87785,36.23819025,98262.75876,6050051.024,61.55878088
