state_code,sex,age,qx_fitted,qx_source
0,total,81,0.05783940151,fitted
0,total,82,0.06334554054,fitted
0,total,83,0.0693779296,fitted
0,total,84,0.07598269942,fitted
0,total,85,0.08320913574,fitted
0,total,86,0.09110969683,fitted
0,total,87,0.09973997716,fitted
0,total,88,0.1091586031,fitted
0,total,89,0.1194270438,fitted
0,total,90,0.1306093184,fitted
0,total,91,0.1352448839,raw
0,total,92,0.1470151976,raw
0,total,93,0.1593957572,raw
0,total,94,0.1730557526,raw
0,total,95,0.1877243029,raw
0,total,96,0.2055418598,raw
0,total,97,0.2228030739,raw
0,total,98,0.2416820048,raw
0,total,99,0.2620662538,raw
0,total,100,0.2835935859,raw
0,total,101,0.3052921383,raw
0,total,102,0.3261261261,raw
0,total,103,0.346749226,raw
0,total,104,0.370273794,raw
0,total,105,0.3992172211,raw
0,total,106,0.4325153374,raw
0,total,107,0.4646464646,raw
0,total,108,0.4989154013,raw
0,total,109,1,raw
1,female,0,0.009559030934,raw
1,female,1,0.001188259991,raw
1,female,2,0.0004777450434,raw
1,female,3,0.0003208470362,raw
1,female,4,0.0002407414838,raw
1,female,5,0.0002374638857,raw
1,female,6,0.0001554726368,raw
1,female,7,0.0001512630464,raw
1,female,8,0.0001483019428,raw
1,female,9,0.0001480275331,raw
1,female,10,0.0002227584927,raw
1,female,11,0.0002224281742,raw
1,female,12,0.0002218032605,raw
1,female,13,0.0002955082742,raw
1,female,14,0.0002962085308,raw
1,female,15,0.0003715676439,raw
1,female,16,0.0004476275739,raw
1,female,17,0.0005232666791,raw
1,female,18,0.0005231102642,raw
1,female,19,0.0005963473723,raw
1,female,20,0.0006669383823,raw
1,female,21,0.0006616430803,raw
1,female,22,0.0007312079555,raw
1,female,23,0.0008057132393,raw
1,female,24,0.0008136395577,raw
1,female,25,0.0008240626288,raw
1,female,26,0.0009069609251,raw
1,female,27,0.0009115770283,raw
1,female,28,0.0009158208044,raw
1,female,29,0.0009990393852,raw
1,female,30,0.0009530254484,fitted
1,female,31,0.0009877621619,fitted
1,female,32,0.001026081902,fitted
1,female,33,0.001068354091,fitted
1,female,34,0.001114986206,fitted
1,female,35,0.001166427691,fitted
1,female,36,0.001223174269,fitted
1,female,37,0.001285772699,fitted
1,female,38,0.001354826011,fitted
1,female,39,0.001430999289,fitted
1,female,40,0.001515026028,fitted
1,female,41,0.001607715152,fitted
1,female,42,0.001709958742,fitted
1,female,43,0.001822740541,fitted
1,female,44,0.001947145337,fitted
1,female,45,0.002084369284,fitted
1,female,46,0.002235731268,fitted
1,female,47,0.002402685425,fitted
1,female,48,0.002586834914,fitted
1,female,49,0.002789947067,fitted
1,female,50,0.003013970063,fitted
1,female,51,0.00326105126,fitted
1,female,52,0.003533557344,fitted
1,female,53,0.003834096477,fitted
1,female,54,0.004165542619,fitted
1,female,55,0.004531062239,fitted
1,female,56,0.004934143617,fitted
1,female,57,0.005378628993,fitted
1,female,58,0.00586874979,fitted
1,female,59,0.006409165209,fitted
1,female,60,0.007005004452,fitted
1,female,61,0.007661912905,fitted
1,female,62,0.008386102579,fitted
1,female,63,0.009184407159,fitted
1,female,64,0.01006434199,fitted
1,female,65,0.01103416937,fitted
1,female,66,0.01210296952,fitted
1,female,67,0.01328071753,fitted
1,female,68,0.0145783667,fitted
1,female,69,0.01600793857,fitted
1,female,70,0.01758261991,fitted
1,female,71,0.01931686689,fitted
1,female,72,0.02122651674,fitted
1,female,73,0.02332890671,fitted
1,female,74,0.0256430005,fitted
1,female,75,0.02818952174,fitted
1,female,76,0.03099109422,fitted
1,female,77,0.03407238796,fitted
1,female,78,0.0374602701,fitted
1,female,79,0.04118395909,fitted
1,female,80,0.04527518007,fitted
1,female,81,0.04976831872,fitted
1,female,82,0.05470057011,fitted
1,female,83,0.06011207798,fitted
1,female,84,0.0660460591,fitted
1,female,85,0.07254890549,fitted
1,female,86,0.07967025647,fitted
1,female,87,0.08746302996,fitted
1,female,88,0.09598340113,fitted
1,female,89,0.1052907138,fitted
1,female,90,0.1154473074,fitted
1,female,91,0.1220159151,raw
1,female,92,0.1337579618,raw
1,female,93,0.1467181467,raw
1,female,94,0.1567695962,raw
1,female,95,0.1710914454,raw
1,female,96,0.1940298507,raw
1,female,97,0.2068965517,raw
1,female,98,0.2251655629,raw
1,female,99,0.25,raw
1,female,100,0.2784810127,raw
1,female,101,0.2962962963,raw
1,female,102,0.3333333333,raw
1,female,103,0.3333333333,raw
1,female,104,0.3529411765,raw
1,female,105,0.4,raw
1,female,106,0.4,raw
1,female,107,1,raw
1,female,108,1,raw
1,female,109,1,raw
1,male,0,0.01168444461,raw
1,male,1,0.001373102449,raw
1,male,2,0.0005367480735,raw
1,male,3,0.0003097893432,raw
1,male,4,0.0002325130789,raw
1,male,5,0.0002288765974,raw
1,male,6,0.0001496222039,raw
1,male,7,0.0001453488372,raw
1,male,8,0.0002135155333,raw
1,male,9,0.0002131968873,raw
1,male,10,0.0002141098383,raw
1,male,11,0.0002852660106,raw
1,male,12,0.0003557832568,raw
1,male,13,0.0004268032437,raw
1,male,14,0.0005705320211,raw
1,male,15,0.0007881067526,raw
1,male,16,0.001010173894,raw
1,male,17,0.001234343801,raw
1,male,18,0.001530444922,raw
1,male,19,0.001823154057,raw
1,male,20,0.002105645308,raw
1,male,21,0.002379149995,raw
1,male,22,0.002726359592,raw
1,male,23,0.003022670025,raw
1,male,24,0.003278569087,raw
1,male,25,0.003475688667,raw
1,male,26,0.003737479444,raw
1,male,27,0.003913599759,raw
1,male,28,0.0040146953,raw
1,male,29,0.004128440367,raw
1,male,30,0.003968787504,fitted
1,male,31,0.004008610232,fitted
1,male,32,0.004052437268,fitted
1,male,33,0.004100671054,fitted
1,male,34,0.004153754436,fitted
1,male,35,0.004212174712,fitted
1,male,36,0.004276468078,fitted
1,male,37,0.004347224529,fitted
1,male,38,0.004425093234,fitted
1,male,39,0.004510788456,fitted
1,male,40,0.00460509605,fitted
1,male,41,0.004708880617,fitted
1,male,42,0.004823093355,fitted
1,male,43,0.004948780692,fitted
1,male,44,0.005087093767,fitted
1,male,45,0.00523929885,fitted
1,male,46,0.005406788777,fitted
1,male,47,0.005591095516,fitted
1,male,48,0.005793903947,fitted
1,male,49,0.006017067,fitted
1,male,50,0.006262622249,fitted
1,male,51,0.006532810121,fitted
1,male,52,0.00683009385,fitted
1,male,53,0.007157181353,fitted
1,male,54,0.007517049187,fitted
1,male,55,0.007912968779,fitted
1,male,56,0.00834853513,fitted
1,male,57,0.008827698203,fitted
1,male,58,0.009354797225,fitted
1,male,59,0.009934598147,fitted
1,male,60,0.01057233451,fitted
1,male,61,0.01127375202,fitted
1,male,62,0.01204515702,fitted
1,male,63,0.01289346932,fitted
1,male,64,0.01382627946,fitted
1,male,65,0.01485191091,fitted
1,male,66,0.01597948744,fitted
1,male,67,0.01721900583,fitted
1,male,68,0.0185814144,fitted
1,male,69,0.02007869752,fitted
1,male,70,0.0217239662,fitted
1,male,71,0.02353155514,fitted
1,male,72,0.0255171261,fitted
1,male,73,0.02769777772,fitted
1,male,74,0.0300921615,fitted
1,male,75,0.03272060377,fitted
1,male,76,0.03560523289,fitted
1,male,77,0.03877011115,fitted
1,male,78,0.04224136993,fitted
1,male,79,0.04604734681,fitted
1,male,80,0.05021872241,fitted
1,male,81,0.05478865454,fitted
1,male,82,0.059792906,fitted
1,male,83,0.06526996218,fitted
1,male,84,0.07126113298,fitted
1,male,85,0.0778106329,fitted
1,male,86,0.08496563148,fitted
1,male,87,0.09277626493,fitted
1,male,88,0.101295598,fitted
1,male,89,0.1105795229,fitted
1,male,90,0.1206865814,fitted
1,male,91,0.1218637993,raw
1,male,92,0.1293103448,raw
1,male,93,0.1409921671,raw
1,male,94,0.1538461538,raw
1,male,95,0.1612903226,raw
1,male,96,0.1725888325,raw
1,male,97,0.1960784314,raw
1,male,98,0.2068965517,raw
1,male,99,0.2325581395,raw
1,male,100,0.2580645161,raw
1,male,101,0.2727272727,raw
1,male,102,0.2666666667,raw
1,male,103,0.3157894737,raw
1,male,104,0.3333333333,raw
1,male,105,0.2857142857,raw
1,male,106,0.6666666667,raw
1,male,107,0,raw
1,male,108,1,raw
1,male,109,1,raw
1,total,0,0.01064226246,raw
1,total,1,0.001282424949,raw
1,total,2,0.000507802582,raw
1,total,3,0.0003152212459,raw
1,total,4,0.0002365557483,raw
1,total,5,0.0002330911775,raw
1,total,6,0.0001524913271,raw
1,total,7,0.0001482469795,raw
1,total,8,0.0001815771794,raw
1,total,9,0.0001812743587,raw
1,total,10,0.0002183485571,raw
